Rank,Year,Movie,WorldwideBox Office,DomesticBox Office,InternationalBox Office
1,2009,Avatar,2845899541,760507625,2085391916
2,2019,Avengers: Endgame,2797800564,858373000,1939427564
3,1997,Titanic,2207986545,659363944,1548622601
4,2015,Star Wars Ep. VII: The Force Awakens,2064615817,936662225,1127953592
5,2018,Avengers: Infinity War,2044540523,678815482,1365725041
6,2015,Jurassic World,2845899541,652306625,1017673342
7,2019,The Lion King,2797800564,543638043,1110729382
8,2015,Furious 7,2207986545,353007020,1163874506
9,2012,The Avengers,2064615817,623357910,891742301
10,2019,Frozen II,2044540523,477373578,969551818
11,2015,Avengers: Age of Ultron,2845899541,459005868,936311111
12,2018,Black Panther,2797800564,700059566,636434755
13,2011,Harry Potter and the Deathly Hallows:…,2207986545,381193157,953199387
14,2017,Star Wars Ep. VIII: The Last Jedi,2064615817,620181382,711453759
15,2018,Jurassic World: Fallen Kingdom,2044540523,417719760,890614245
16,2013,Frozen,2845899541,400953009,865695311
17,2017,Beauty and the Beast,2797800564,504014165,751066490
18,2018,Incredibles 2,2207986545,608581744,634223615
19,2017,The Fate of the Furious,2064615817,225764765,1010939031
20,2013,Iron Man 3,2044540523,408992272,806400000
21,2015,Minions,2845899541,336045770,823585370
22,2016,Captain America: Civil War,2797800564,408084349,743834172
23,2018,Aquaman,2207986545,335061807,808696893
24,2019,Spider-Man: Far From Home,2064615817,390532085,740580981
25,2019,Captain Marvel,2044540523,426829839,702897549
26,2011,Transformers: Dark of the Moon,2845899541,352390543,771403536
27,2003,The Lord of the Rings: The Return of …,2797800564,377845905,742368141
28,2012,Skyfall,2207986545,304360277,806166704
29,2014,Transformers: Age of Extinction,2064615817,245439076,858614996
30,2012,The Dark Knight Rises,2044540523,448139099,634089008
31,2019,Toy Story 4,2845899541,434038008,639042321
32,2019,Star Wars: The Rise of Skywalker,2797800564,515202542,557645945
33,2019,Joker,2207986545,335451311,737056206
34,2010,Toy Story 3,2064615817,415004880,653874642
35,2006,Pirates of the Caribbean: Dead Manâs …,2044540523,423315812,642863913
36,2016,Rogue One: A Star Wars Story,2845899541,532177324,522958274
37,2019,Aladdin,2797800564,355559216,691090490
38,2011,Pirates of the Caribbean: On Stranger…,2207986545,241071802,804642000
39,1993,Jurassic Park,2064615817,402523348,643049687
40,2017,Despicable Me 3,2044540523,264624300,767972594
41,1999,Star Wars Ep. I: The Phantom Menace,2845899541,474544677,552500000
42,2010,Alice in Wonderland,2797800564,334191110,691300000
43,2016,Finding Dory,2207986545,486295561,538710564
44,2012,The Hobbit: An Unexpected Journey,2064615817,303003568,711934977
45,2016,Zootopia,2044540523,341268248,664036390
46,2008,The Dark Knight,2845899541,533720947,465325334
47,1994,The Lion King,2797800564,421785283,564429585
48,2013,Despicable Me 2,2207986545,368065385,607151450
49,2001,Harry Potter and the Sorcererâs Stone,2064615817,317871467,647182655
50,2017,Jumanji: Welcome to the Jungle,2044540523,404508916,557104283
51,2007,Pirates of the Caribbean: At Worldâs …,2845899541,309420425,651576067
52,2013,The Hobbit: The Desolation of Smaug,2797800564,258241522,701116914
53,2010,Harry Potter and the Deathly Hallows:…,2207986545,296131568,659240323
54,2016,The Jungle Book,2064615817,364001123,589553295
55,2014,The Hobbit: The Battle of the Five Ar…,2044540523,255119788,686440944
56,2007,Harry Potter and the Order of the Pho…,2845899541,292137260,648606680
57,2003,Finding Nemo,2797800564,380529370,555565482
58,2004,Shrek 2,2207986545,441226247,494027731
59,2009,Harry Potter and the Half-Blood Prince,2064615817,302089278,628583889
60,2002,The Lord of the Rings: The Two Towers,2044540523,342548984,576599780
61,2007,Spider-Man 3,2845899541,336530303,558329927
62,2018,Bohemian Rhapsody,2797800564,216303339,675169660
63,2005,Harry Potter and the Goblet of Fire,2207986545,290201752,601118332
64,2001,The Lord of the Rings: The Fellowship…,2064615817,315544750,575672074
65,2009,Ice Age: Dawn of the Dinosaurs,2044540523,196573705,690113112
66,2016,The Secret Life of Pets,2845899541,368384330,516918170
67,2017,Spider-Man: Homecoming,2797800564,334201140,545965210
68,2012,Ice Age: Continental Drift,2207986545,161321843,718443294
69,2015,Spectre,2064615817,200074175,679426585
70,2002,Harry Potter and the Chamber of Secrets,2044540523,262233381,614275424
71,2016,Batman v Superman: Dawn of Justice,2845899541,330360194,542034897
72,2017,Guardians of the Galaxy Vol 2,2797800564,389813101,479300000
73,2013,The Hunger Games: Catching Fire,2207986545,424668047,440200000
74,2015,Inside Out,2064615817,356461711,498576676
75,2018,Venom,2044540523,213511408,640019491
76,2017,Thor: Ragnarok,2845899541,315058289,535424489
77,2005,Star Wars Ep. III: Revenge of the Sith,2797800564,380270577,468728300
78,2021,Ni Hao Li Huan Ying,2207986545,,841716512
79,2009,Transformers: Revenge of the Fallen,2064615817,402111870,434407829
80,2017,Zhan Lang 2,2044540523,2721100,832753071
